# Version 1.1.0 / 2024-07-22,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:BERGHUETTE,property_type_taxonomy,,Mountain Hut,Houses,Berghütte,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:CHALET,property_type_taxonomy,,Chalet,Houses,Chalet,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:STRANDHAUS,property_type_taxonomy,,Beach Home,Houses,Strandhaus,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:LAUBE-DATSCHE-GARTENHAUS,property_type_taxonomy,,Pergola / Weekend home / Summerhouse,Houses,Laube / Datsche / Gartenhaus,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:APARTMENTHAUS,property_type_taxonomy,,Apartment House,Houses,Apartmenthaus,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:BURG,property_type_taxonomy,,Castle,Houses,Burg,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:HERRENHAUS,property_type_taxonomy,,Mansion,Houses,Herrenhaus,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:FINCA,property_type_taxonomy,,Finca,Houses,Finca,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:RUSTICO,property_type_taxonomy,,Rustico,Houses,Rustico,Häuser,,
#taxonomy,,,objektkategorie->objektart->haus:haustyp:FERTIGHAUS,property_type_taxonomy,,Prefabricated House,Houses,Fertighaus,Häuser,,
#taxonomy,,,objektkategorie->objektart->grundstueck,property_type_taxonomy,,Lot,Lots,Grundstück,Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:WOHNEN,property_type_taxonomy,,Residential Lot,Lots,Grundstück (Wohnbebauung),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBE,property_type_taxonomy,,Commercial Lot,Lots,Grundstück (Gewerbe),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:INDUSTRIE,property_type_taxonomy,,Industrial Lot,Lots,Industriegrundstück,Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRTSCHAFT,property_type_taxonomy,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRSCHAFT,property_type_taxonomy,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:FREIZEIT,property_type_taxonomy,,Recreational Lot,Lots,Freizeitgrundstück,Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEMISCHT,property_type_taxonomy,,Mixed Lot,Lots,Grundstück (Gemischt),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBEPARK,property_type_taxonomy,,Commercial Park,Lots,Gewerbepark,Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:SONDERNUTZUNG,property_type_taxonomy,,Lot (Special Use),Lots,Grundstück (Sondernutzung),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:SEE_LIEGENSCHAFT,property_type_taxonomy,,Waterside Property,Lots,Grundstück (See-Liegenschaft),Grundstücke,,
#taxonomy,,,objektkategorie->objektart->buero_praxen,property_type_taxonomy,,Office,Commercial Properties,Büro / Praxis,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROFLAECHE,property_type_taxonomy,,Office Space,Commercial Properties,Bürofläche,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROHAUS,property_type_taxonomy,,Office Building,Commercial Properties,Bürohaus,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROZENTRUM,property_type_taxonomy,,Office Center,Commercial Properties,Bürozentrum,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:LOFT_ATELIER,property_type_taxonomy,,Loft / Atelier,Commercial Properties,Loft / Atelier,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXIS,property_type_taxonomy,,Office,Commercial Properties,Praxis,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISFLAECHE,property_type_taxonomy,,Office Space,Commercial Properties,Praxisfläche,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISHAUS,property_type_taxonomy,,Office Building,Commercial Properties,Praxishaus,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:AUSSTELLUNGSFLAECHE,property_type_taxonomy,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:COWORKING,property_type_taxonomy,,Coworking,Commercial Properties,Co-Working,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:SHARED_OFFICE,property_type_taxonomy,,Shared Office,Commercial Properties,Gemeinschaftsbüro,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel,property_type_taxonomy,,Retail,Commercial Properties,Einzelhandel,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:LADENLOKAL,property_type_taxonomy,,Shop,Commercial Properties,Ladenlokal,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:EINZELHANDELSLADEN,property_type_taxonomy,,Retail Store,Commercial Properties,Einzelhandelsladen,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:VERBRAUCHERMARKT,property_type_taxonomy,,Store,Commercial Properties,Verbrauchermarkt,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:EINKAUFSZENTRUM,property_type_taxonomy,,Mall,Commercial Properties,Einkaufszentrum,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:KAUFHAUS,property_type_taxonomy,,Department Store,Commercial Properties,Kaufhaus,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:FACTORY_OUTLET,property_type_taxonomy,,Factory Outlet,Commercial Properties,Factory Outlet,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:KIOSK,property_type_taxonomy,,Kiosk,Commercial Properties,Kiosk,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:VERKAUFSFLAECHE,property_type_taxonomy,,Selling Space,Commercial Properties,Verkaufsfläche,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:AUSSTELLUNGSFLAECHE,property_type_taxonomy,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe,property_type_taxonomy,,Hospitality Industry,Catering and Hotel Properties,Gastgewerbe,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE,property_type_taxonomy,,Gastronomy,Catering and Hotel Properties,Gastronomie,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE_UND_WOHNUNG,property_type_taxonomy,,Gastronomy and Flat,Catering and Hotel Properties,Gastronomie und Wohnung,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:PENSIONEN,property_type_taxonomy,,Pension,Catering and Hotel Properties,Pension,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:HOTELS,property_type_taxonomy,,Hotel,Catering and Hotel Properties,Hotel,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:WEITERE_BEHERBERGUNGSBETRIEBE,property_type_taxonomy,,Other Lodging Establishments,Catering and Hotel Properties,Beherbergungsbetrieb,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:BAR,property_type_taxonomy,,Bar,Catering and Hotel Properties,Bar,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:CAFE,property_type_taxonomy,,Café,Catering and Hotel Properties,Café,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,property_type_taxonomy,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,property_type_taxonomy,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,property_type_taxonomy,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:EINRAUMLOKAL,property_type_taxonomy,,Single-room Pub,Catering and Hotel Properties,Einraumlokal,Gastronomie- und Hotellerie,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod,property_type_taxonomy,,Hall / Warehouse / Production,Storage and Production Spaces,Halle / Lager / Produktion,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HALLE,property_type_taxonomy,,Hall,Storage and Production Spaces,Halle,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:INDUSTRIEHALLE,property_type_taxonomy,,Industrial Hall,Storage and Production Spaces,Industriehalle,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER,property_type_taxonomy,,Warehouse,Storage and Production Spaces,Lager,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGERFLAECHEN,property_type_taxonomy,,Warehousing Space,Storage and Production Spaces,Lagerfläche,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER_MIT_FREIFLAECHE,property_type_taxonomy,,Warehouse with Open Space,Storage and Production Spaces,Lager mit Freifläche,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HOCHREGALLAGER,property_type_taxonomy,,High-bay Warenhouse,Storage and Production Spaces,Hochregallager,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SPEDITIONSLAGER,property_type_taxonomy,,Forwarding Agency Warehouse,Storage and Production Spaces,Speditionslager,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:PRODUKTION,property_type_taxonomy,,Production,Storage and Production Spaces,Produktion,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:WERKSTATT,property_type_taxonomy,,Workshop,Storage and Production Spaces,Werkstatt,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SERVICE,property_type_taxonomy,,Service,Storage and Production Spaces,Service,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:FREIFLAECHEN,property_type_taxonomy,,Open Space,Storage and Production Spaces,Freifläche,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:KUEHLHAUS,property_type_taxonomy,,Cold Warehouse,Storage and Production Spaces,Kühlhaus,Lager- und Produktionsflächen,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft,property_type_taxonomy,,Agriculture and Forestry,Agriculture and Forestry Properties,Land- und Forstwirtschaft,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:LANDWIRTSCHAFTLICHE_BETRIEBE,property_type_taxonomy,,Agricultural Plant,Agriculture and Forestry Properties,Landwirtschaftlicher Betrieb,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:BAUERNHOF,property_type_taxonomy,,Farm,Agriculture and Forestry Properties,Bauernhof,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:AUSSIEDLERHOF,property_type_taxonomy,,Isolated Farmstead,Agriculture and Forestry Properties,Aussiedlerhof,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:GARTENBAU,property_type_taxonomy,,Gardening,Agriculture and Forestry Properties,Gartenbau,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ACKERBAU,property_type_taxonomy,,Arable Farming,Agriculture and Forestry Properties,Ackerbau,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:WEINBAU,property_type_taxonomy,,Wine-growing,Agriculture and Forestry Properties,Weinbau,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:VIEHWIRTSCHAFT,property_type_taxonomy,,Ranching,Agriculture and Forestry Properties,Viehwirtschaft,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGD_UND_FORSTWIRTSCHAFT,property_type_taxonomy,,Hunting and Forestry,Agriculture and Forestry Properties,Jagd- und Forstwirtschaft,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:TEICH_UND_FISCHWIRTSCHAFT,property_type_taxonomy,,Fish Farming,Agriculture and Forestry Properties,Teich- und Fischwirtschaft,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SCHEUNEN,property_type_taxonomy,,Barn,Agriculture and Forestry Properties,Scheune,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:REITERHOEFE,property_type_taxonomy,,Equestrian Center,Agriculture and Forestry Properties,Reiterhof,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SONSTIGE_LANDWIRTSCHAFTSIMMOBILIEN,property_type_taxonomy,,Other Agricultural Properties,Agriculture and Forestry Properties,Sonstige Landwirtschaftsimmobilie,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ANWESEN,property_type_taxonomy,,Estate,Agriculture and Forestry Properties,Anwesen,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGDREVIER,property_type_taxonomy,,Hunting Ground,Agriculture and Forestry Properties,Jagdrevier,Land- und Forstwirtschaft,,
#taxonomy,,,objektkategorie->objektart->parken,property_type_taxonomy,,Parking,Parking Spaces,Parken,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:STELLPLATZ,property_type_taxonomy,,Car Space,Parking Spaces,Stellplatz,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:CARPORT,property_type_taxonomy,,Carport,Parking Spaces,Carport,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:DOPPELGARAGE,property_type_taxonomy,,Double Garage,Parking Spaces,Doppelgarage,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:DUPLEX,property_type_taxonomy,,Duplex,Parking Spaces,Duplex,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGE,property_type_taxonomy,,Deep-level Garage,Parking Spaces,Tiefgarage,Parken,,
