# Version 1.4.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_houzez,,Living Properties,,Wohnimmobilien,,,
taxonomy,,objektkategorie->objektart->haus:haustyp:ZWEIFAMILIENHAUS,property-type,,Two Family House,Houses,Zweifamilienhaus,Häuser,1.3.4,2023-10-25
taxonomy,,objektkategorie->objektart->haus:haustyp:MEHRFAMILIENHAUS,property-type,,Multi-family House,Houses,Mehrfamilienhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FERIENHAUS,property-type,,Holiday Home,Houses,Ferienhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BERGHUETTE,property-type,,Mountain Hut,Houses,Berghütte,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:CHALET,property-type,,Chalet,Houses,Chalet,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:STRANDHAUS,property-type,,Beach Home,Houses,Strandhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:LAUBE-DATSCHE-GARTENHAUS,property-type,,Pergola / Weekend home / Summerhouse,Houses,Laube / Datsche / Gartenhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:APARTMENTHAUS,property-type,,Apartment House,Houses,Apartmenthaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BURG,property-type,,Castle,Houses,Burg,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:HERRENHAUS,property-type,,Mansion,Houses,Herrenhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FINCA,property-type,,Finca,Houses,Finca,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:RUSTICO,property-type,,Rustico,Houses,Rustico,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FERTIGHAUS,property-type,,Prefabricated House,Houses,Fertighaus,Häuser,,
taxonomy,,objektkategorie->objektart->grundstueck,property-type,,Lot,Lots,Grundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:WOHNEN,property-type,,Residential Lot,Lots,Grundstück (Wohnbebauung),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBE,property-type,,Commercial Lot,Lots,Grundstück (Gewerbe),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:INDUSTRIE,property-type,,Industrial Lot,Lots,Industriegrundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRTSCHAFT,property-type,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRSCHAFT,property-type,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:FREIZEIT,property-type,,Recreational Lot,Lots,Freizeitgrundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEMISCHT,property-type,,Mixed Lot,Lots,Grundstück (Gemischt),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBEPARK,property-type,,Commercial Park,Lots,Gewerbepark,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:SONDERNUTZUNG,property-type,,Lot (Special Use),Lots,Grundstück (Sondernutzung),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:SEE_LIEGENSCHAFT,property-type,,Waterside Property,Lots,Grundstück (See-Liegenschaft),Grundstücke,,
taxonomy,,objektkategorie->objektart->buero_praxen,property-type,,Office,Commercial Properties,Büro / Praxis,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROFLAECHE,property-type,,Office Space,Commercial Properties,Bürofläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROHAUS,property-type,,Office Building,Commercial Properties,Bürohaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROZENTRUM,property-type,,Office Center,Commercial Properties,Bürozentrum,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:LOFT_ATELIER,property-type,,Loft / Atelier,Commercial Properties,Loft / Atelier,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXIS,property-type,,Office,Commercial Properties,Praxis,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISFLAECHE,property-type,,Office Space,Commercial Properties,Praxisfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISHAUS,property-type,,Office Building,Commercial Properties,Praxishaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:AUSSTELLUNGSFLAECHE,property-type,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:COWORKING,property-type,,Coworking,Commercial Properties,Co-Working,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:SHARED_OFFICE,property-type,,Shared Office,Commercial Properties,Gemeinschaftsbüro,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel,property-type,,Retail,Commercial Properties,Einzelhandel,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:LADENLOKAL,property-type,,Shop,Commercial Properties,Ladenlokal,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:EINZELHANDELSLADEN,property-type,,Retail Store,Commercial Properties,Einzelhandelsladen,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:VERBRAUCHERMARKT,property-type,,Store,Commercial Properties,Verbrauchermarkt,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:EINKAUFSZENTRUM,property-type,,Mall,Commercial Properties,Einkaufszentrum,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:KAUFHAUS,property-type,,Department Store,Commercial Properties,Kaufhaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:FACTORY_OUTLET,property-type,,Factory Outlet,Commercial Properties,Factory Outlet,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:KIOSK,property-type,,Kiosk,Commercial Properties,Kiosk,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:VERKAUFSFLAECHE,property-type,,Selling Space,Commercial Properties,Verkaufsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:AUSSTELLUNGSFLAECHE,property-type,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->gastgewerbe,property-type,,Hospitality Industry,Catering and Hotel Properties,Gastgewerbe,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE,property-type,,Gastronomy,Catering and Hotel Properties,Gastronomie,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE_UND_WOHNUNG,property-type,,Gastronomy and Flat,Catering and Hotel Properties,Gastronomie und Wohnung,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:PENSIONEN,property-type,,Pension,Catering and Hotel Properties,Pension,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:HOTELS,property-type,,Hotel,Catering and Hotel Properties,Hotel,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:WEITERE_BEHERBERGUNGSBETRIEBE,property-type,,Other Lodging Establishments,Catering and Hotel Properties,Beherbergungsbetrieb,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:BAR,property-type,,Bar,Catering and Hotel Properties,Bar,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:CAFE,property-type,,Café,Catering and Hotel Properties,Café,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,property-type,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,property-type,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie- und Hotellerie,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,property-type,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie- und Hotellerie,,
