# Version 2.1.0 / 2024-07-17,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_wp_residence,,Living Properties,,Wohnimmobilien,,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FERIENHAUS,property_category,,Holiday Home,Houses,Ferienhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BERGHUETTE,property_category,,Mountain Hut,Houses,Berghütte,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:CHALET,property_category,,Chalet,Houses,Chalet,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:STRANDHAUS,property_category,,Beach Home,Houses,Strandhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:LAUBE-DATSCHE-GARTENHAUS,property_category,,Pergola / Weekend home / Summerhouse,Houses,Laube / Datsche / Gartenhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:APARTMENTHAUS,property_category,,Apartment House,Houses,Apartmenthaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BURG,property_category,,Castle,Houses,Burg,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:HERRENHAUS,property_category,,Mansion,Houses,Herrenhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FINCA,property_category,,Finca,Houses,Finca,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:RUSTICO,property_category,,Rustico,Houses,Rustico,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FERTIGHAUS,property_category,,Prefabricated House,Houses,Fertighaus,Häuser,,
taxonomy,,objektkategorie->objektart->grundstueck,property_category,,Lot,Lots,Grundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:WOHNEN,property_category,,Residential Lot,Lots,Grundstück (Wohnbebauung),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBE,property_category,,Commercial Lot,Lots,Grundstück (Gewerbe),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:INDUSTRIE,property_category,,Industrial Lot,Lots,Industriegrundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRSCHAFT,property_category,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,1.4.2,2018-03-23
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRTSCHAFT,property_category,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:FREIZEIT,property_category,,Recreational Lot,Lots,Freizeitgrundstück,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEMISCHT,property_category,,Mixed Lot,Lots,Grundstück (Gemischt),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBEPARK,property_category,,Commercial Park,Lots,Gewerbepark,Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:SONDERNUTZUNG,property_category,,Lot (Special Use),Lots,Grundstück (Sondernutzung),Grundstücke,,
taxonomy,,objektkategorie->objektart->grundstueck:grundst_typ:SEE_LIEGENSCHAFT,property_category,,Waterside Property,Lots,Grundstück (See-Liegenschaft),Grundstücke,,
taxonomy,,objektkategorie->objektart->buero_praxen,property_category,,Office,Commercial Properties,Büro / Praxis,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROFLAECHE,property_category,,Office Space,Commercial Properties,Bürofläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROHAUS,property_category,,Office Building,Commercial Properties,Bürohaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROZENTRUM,property_category,,Office Center,Commercial Properties,Bürozentrum,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:LOFT_ATELIER,property_category,,Loft / Atelier,Commercial Properties,Loft / Atelier,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXIS,property_category,,Office,Commercial Properties,Praxis,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISFLAECHE,property_category,,Office Space,Commercial Properties,Praxisfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISHAUS,property_category,,Office Building,Commercial Properties,Praxishaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:AUSSTELLUNGSFLAECHE,property_category,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:COWORKING,property_category,,Coworking,Commercial Properties,Co-Working,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->buero_praxen:buero_typ:SHARED_OFFICE,property_category,,Shared Office,Commercial Properties,Gemeinschaftsbüro,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel,property_category,,Retail,Commercial Properties,Einzelhandel,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:LADENLOKAL,property_category,,Shop,Commercial Properties,Ladenlokal,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:EINZELHANDELSLADEN,property_category,,Retail Store,Commercial Properties,Einzelhandelsladen,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:VERBRAUCHERMARKT,property_category,,Store,Commercial Properties,Verbrauchermarkt,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:EINKAUFSZENTRUM,property_category,,Mall,Commercial Properties,Einkaufszentrum,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:KAUFHAUS,property_category,,Department Store,Commercial Properties,Kaufhaus,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:FACTORY_OUTLET,property_category,,Factory Outlet,Commercial Properties,Factory Outlet,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:KIOSK,property_category,,Kiosk,Commercial Properties,Kiosk,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:VERKAUFSFLAECHE,property_category,,Selling Space,Commercial Properties,Verkaufsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:AUSSTELLUNGSFLAECHE,property_category,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->gastgewerbe,property_category,,Hospitality Industry,Catering and Hotel Properties,Gastgewerbe,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE,property_category,,Gastronomy,Catering and Hotel Properties,Gastronomie,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE_UND_WOHNUNG,property_category,,Gastronomy and Flat,Catering and Hotel Properties,Gastronomie und Wohnung,Gastronomie und Hotellerie,1.2.1,2016-12-19
