# Version 1.5.7 / 2025-04-29,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:CHALET,inx_property_type,,Chalet,Houses,Chalet,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:STRANDHAUS,inx_property_type,,Beach Home,Houses,Strandhaus,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:LAUBE-DATSCHE-GARTENHAUS,inx_property_type,,Pergola / Weekend home / Summerhouse,Houses,Laube / Datsche / Gartenhaus,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:APARTMENTHAUS,inx_property_type,,Apartment House,Houses,Apartmenthaus,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:BURG,inx_property_type,,Castle,Houses,Burg,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:HERRENHAUS,inx_property_type,,Mansion,Houses,Herrenhaus,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:FINCA,inx_property_type,,Finca,Houses,Finca,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:RUSTICO,inx_property_type,,Rustico,Houses,Rustico,Häuser,,
taxonomy,,,objektkategorie->objektart->haus:haustyp:FERTIGHAUS,inx_property_type,,Prefabricated House,Houses,Fertighaus,Häuser,,
taxonomy,,,objektkategorie->objektart->grundstueck,inx_property_type,,Lot,Lots,Grundstück,Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:WOHNEN,inx_property_type,,Residential Lot,Lots,Grundstück (Wohnbebauung),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBE,inx_property_type,,Commercial Lot,Lots,Grundstück (Gewerbe),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:INDUSTRIE,inx_property_type,,Industrial Lot,Lots,Industriegrundstück,Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRTSCHAFT,inx_property_type,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:LAND_FORSTWIRSCHAFT,inx_property_type,,Agricultural Lot,Lots,Grundstück (Land- und Forstwirtschaft),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:FREIZEIT,inx_property_type,,Recreational Lot,Lots,Freizeitgrundstück,Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEMISCHT,inx_property_type,,Mixed Lot,Lots,Grundstück (Gemischt),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:GEWERBEPARK,inx_property_type,,Commercial Park,Lots,Gewerbepark,Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:SONDERNUTZUNG,inx_property_type,,Lot (Special Use),Lots,Grundstück (Sondernutzung),Grundstücke,,
taxonomy,,,objektkategorie->objektart->grundstueck:grundst_typ:SEE_LIEGENSCHAFT,inx_property_type,,Waterside Property,Lots,Grundstück (See-Liegenschaft),Grundstücke,,
taxonomy,,,objektkategorie->objektart->buero_praxen,inx_property_type,,Office,Commercial Properties,Büro / Praxis,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROFLAECHE,inx_property_type,,Office Space,Commercial Properties,Bürofläche,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROHAUS,inx_property_type,,Office Building,Commercial Properties,Bürohaus,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:BUEROZENTRUM,inx_property_type,,Office Center,Commercial Properties,Bürozentrum,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:LOFT_ATELIER,inx_property_type,,Loft / Atelier,Commercial Properties,Loft / Atelier,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXIS,inx_property_type,,Office,Commercial Properties,Praxis,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISFLAECHE,inx_property_type,,Office Space,Commercial Properties,Praxisfläche,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:PRAXISHAUS,inx_property_type,,Office Building,Commercial Properties,Praxishaus,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:AUSSTELLUNGSFLAECHE,inx_property_type,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:COWORKING,inx_property_type,,Coworking,Commercial Properties,Co-Working,Gewerbeobjekte,,
